confidence,current_category,current_score,current_signal_type,dataset_tier,editorial_reason,exact_excerpt,final_label,hard_eval,id,label_tier,locality,model_text,published_at,region,report,review_status,source,title,url,event_group,event_group_size,event_label_count,mixed_label_event,is_label_representative,split
HIGH,,,,SILVER,"Заголовок прямо фиксирует конкретную жалобу, нарушение или социально-экономическую проблему.","В Беларуси накручивали цену на мясо – сверх кассы сделали 435 тысяч долларов! Об этом сообщили в МАРТ, выявив завышенную стоимость в более чем 20 организациях Витебщины, Гомельщины, Минщины и Могилевщины. Общая накрутка составила 1,3 миллиона рублей! Цены безосновательно завышали на свинину и мясо крупного рогатого скота, после проверок их привели в соответствие, рассказали в ведомстве. […]",KEEP,,RQ-19d164acf7a8,SILVER,,,2026-08-21T08:11:01+00:00,,,REVIEWED,Gomel Today,В Беларуси накручивали цену на мясо – сверх кассы сделали 435 тысяч долларов!,https://t.me/gomeltoday/161861,EVT-522e8f1a13e4,1,1,NO,YES,train
HIGH,,,,SILVER,Очевидно нерелевантный жанр или событие вне предмета S-monitor.,"[…] Она вручила верительные грамоты министру иностранных дел Максиму Рыженкову 25 ноября 2025 года. “Состоялось обсуждение состояния и перспектив развития белорусского-германских отношений с учетом складывающихся международно-политических реалий, актуальной ситуации в регионе”, — отмечал тогда в связи с дипломатической процедурой МИД. Было заявлено о готовности белорусской стороны к “налаживанию прагматичного и равноправного диалога с ФРГ и ЕС, основанного на взаимном уважении и учете интересов сторон”. После назначения аус дем Зипен впервые прибыла в Минск 2 сентября. После событий 2020 года все дипломатические миссии стран ЕС в Беларуси, кроме назначивших послов Венгрии и Словакии (поддерживают официальные контакты с минским и московским режимами), возглавляются временными поверенными в делах. Это позволяет не вручать верительные грамоты Александру Лукашенко, которого демократические страны Европы не признают законным президентом. Предшественница Катрин аус дем Зипен Андреа Викторин тоже была временным поверенным в делах Германии в Беларуси (с сентября 2024-го по июль 2025 года).",REJECT,,RQ-6a16e484b446,SILVER,,,2026-08-21T07:15:06+00:00,,,REVIEWED,Позірк,Минобороны аккредитовало нового военного атташе Германии | Pozirk,https://pozirk.online/ru/news/200733,EVT-591396179d08,1,1,NO,YES,train
HIGH,,,,SILVER,"Заголовок прямо фиксирует конкретную жалобу, нарушение или социально-экономическую проблему.","Жительница Беларуси приобрела карпаччо из мяса цыплят-бройлеров и обнаружила внутри вакуумной упаковки мертвое насекомое, похожее на муху. […] «Нежелательный ингредиент» девушка обнаружила в продукте, который часто выбирают те, кто следит за рационом и старается увеличить количество белка в меню. Свою находку она также описала фразой: «Когда хотела много белка, а получила еще больше». Судя по опубликованным фотографиям, продукт был приобретен в Минске, в магазине на улице Братской, 18. Поскольку насекомое находилось непосредственно внутри герметичной упаковки, покупательница обратилась с претензией к производителю, а не к торговой точке. На публикацию оперативно отреагировали представители агрокомбината «Дзержинский» с официального аккаунта. […]",KEEP,,RQ-fb429be6875f,SILVER,,,2026-08-21T07:15:00+00:00,,,REVIEWED,Минская правда,Белоруска нашла муху в карпаччо агрокомбината «Дзержинский» - 21.08.2026,https://mlyn.by/21082026/beloruska-nashla-muhu-v-karpachcho-agrokombinata-dzerzhinskij,EVT-07b0d2387519,1,1,NO,YES,train
HIGH,,,,SILVER,"Заголовок прямо фиксирует конкретную жалобу, нарушение или социально-экономическую проблему.","С просьбой поднять актуальную, по ее мнению, для всех родителей школьников обратилась читательница Newgrodno.by Инна. […] Кстати, это действительно так, неоднократно на различных уровнях объясняли, что факт совершения платежа посредством ЕРИП подтверждается наличием в системе информации о таком платеже: «В качестве указанного подтверждения используется учетный номер операции (транзакции) в ЕРИП, который плательщику предоставляется путем размещения его в документе, подтверждающем совершение платежа (квитанция, чек, карт-чек, в т.ч. […] Стоит ли родителям пойти на принцип или же сделать шаг навстречу школе и распечатать чеки? […]",KEEP,,RQ-bcef4e5d2ffa,SILVER,,,2026-08-21T06:58:30+00:00,,,REVIEWED,NewGrodno,"«Много лет не требовалось и было хорошо»: гродненка недовольна, что в школе попросили принести бумажный чек об оплате учебников",https://newgrodno.by/society/grodnenka-nedovolna,EVT-6a5087b6c4a2,1,1,NO,YES,train
HIGH,,,,SILVER,Очевидно нерелевантный жанр или событие вне предмета S-monitor.,"✉️ Журналисты привыкли, что в редакцию чаще всего обращаются с проблемой: просят помочь, разобраться, восстановить справедливость. Но среди многих писем о проблемах ЖКХ и разбитых дорогах есть особенная категория посланий. Это письма, в которых нет ни одной жалобы ... […]",REJECT,,RQ-274a86ed0096,SILVER,,,2026-08-21T06:20:55+00:00,,,REVIEWED,Витебские вести,"Журналисты привыкли, что в редакцию чаще всего обращаются с проблемой: просят помочь, разобраться, восстановить справедливость.",https://t.me/vitvestiby/88176,EVT-eaceff65aeb8,1,1,NO,YES,train
HIGH,,,,SILVER,"Заголовок прямо фиксирует конкретную жалобу, нарушение или социально-экономическую проблему.","Сотрудница Минобра в эфире ОНТ ответила на видео минчанки, которая пожаловалась на «дичайшую текучку» воспитателей в саду. «Исключение из правил». https://zerkalo-10jun.xyz/news/life/134724.html?tg=5 👉 Не работает ссылка? […]",KEEP,,RQ-b7064f956878,SILVER,,,2026-08-20T20:23:23+00:00,,,REVIEWED,Zerkalo.io,"В Минобре ответили на видео минчанки, которая пожаловалась на «дичайшую текучку» воспитателей в саду",https://news.zerkalo.io/life/134724.html,EVT-f41b7a547ca8,2,1,NO,NO,train
HIGH,,,,SILVER,Очевидно нерелевантный жанр или событие вне предмета S-monitor.,"[…] Почему люди пытаются вовлечь меня в конфликт, сделать третьей стороной? Евгения завадская врач-психотерапевтка, когнитивно-поведенческая терапевтка эмоциональной дисрегуляции – Зачастую такая ситуация говорит о том, что людям не хватает поддержки, не хватает опоры внутри. Ведь всем нужна поддержка – и для этого очень важно, чтобы у каждого были друзья и близкие. […] Тут стоит отличать «мне не нравится и для меня такое неприемлемо» от «человек находится в опасности». […]",REJECT,,RQ-a7ba56aaed30,SILVER,,,2026-08-20T20:02:50+00:00,,,REVIEWED,CityDog,"«Пофиг, что моя жизнь летит под откос. Зато у соседей я всё разрулила». Почему нам так интересна чужая личная жизнь и чужие конфликты? Рассказывает психологиня",https://citydog.io/post/conflicts-others,EVT-2bb12d4fa9a8,1,1,NO,YES,train
HIGH,,,,SILVER,Очевидно нерелевантный жанр или событие вне предмета S-monitor.,"У некоторых людей в период сильных геомагнитных возмущений может появляться головная боль. Возможная причина — изменение тонуса кровеносных сосудов, рассказала врач-невролог Приморской краевой клинической больницы №1 Елена Овчинникова. По словам специалиста, реакция на изменения геомагнитной обстановки у людей может сильно отличаться. […] Во вторник в Лаборатории солнечной астрономии Института космических исследований РАН сообщали о начале магнитной бури «планетарного масштаба». Ожидается, что возмущенная геомагнитная обстановка сохранится еще до пятницы. Врач отметила, что организм некоторых людей самостоятельно компенсирует происходящие изменения. Если артериальное давление остается в норме, а головная боль не слишком сильная, можно принять обезболивающее. […]",REJECT,,RQ-5a20830d43d4,SILVER,,,2026-08-20T19:42:00+00:00,,,REVIEWED,Минская правда,"Головная боль во время магнитной бури – невролог назвала симптом, который нельзя игнорировать - 20.08.2026",https://mlyn.by/20082026/golovnaya-bol-vo-vremya-magnitnoj-buri-nevrolog-nazvala-simptom-kotoryj-nelzya-ignorirovat,EVT-3d35940776ee,1,1,NO,YES,train
HIGH,,,,SILVER,"Заголовок прямо фиксирует конкретную жалобу, нарушение или социально-экономическую проблему.","Белорус вылечился от туберкулеза, но потерял очередь на квартиру История случилась с минчанином, мать которого пошла на личный прием к главе администрации Октябрьского района, чтобы разобраться: почему ее сына исключили из списков нуждающихся в улучшении жилищных условий. Дело в том, что некоторые болезни входят в список условий для льготного строительства квартиры. И туберкулез как раз там, поскольку зараженный опасен для проживания в одном помещении с другими людьми. […] А как только диагноз сняли, его оттуда исключили. В администрации пояснили , что после получения врачебного заключения о выздоровлении пациента основания для нахождения в льготной очереди отпадают. При этом полного снятия с учета не произошло: сын вернулся в общую очередь, в которой семья стояла с 2003 года. Белорусам предложили единственный вариант — арендную квартиру, но тоже по очереди.",KEEP,,RQ-983791fe95ea,SILVER,,,2026-08-20T16:12:34+00:00,,,REVIEWED,Могилёв Online,"Белорус вылечился от туберкулеза, но потерял очередь на квартиру",https://t.me/mogilevonline/123079,EVT-ed002b6131d2,2,1,NO,YES,train
HIGH,,,,SILVER,Очевидно нерелевантный жанр или событие вне предмета S-monitor.,"На что обратить внимание, чтобы вовремя заметить у ребенка проблемы со зрением? Какие симптомы не стоит игнорировать и как предотвратить развитие патологии? Об этом рассказала врач-офтальмолог Елена Герасименко из 10-й городской клинической больницы Минска. Как заподозрить у детей проблемы со зрением? Какие симптомы могут на это указывать? […] Помимо этого, лишний раз пройти осмотр у окулиста необходимо в случае, если ребенок постоянно чешет глаза, излишне щурится на солнышко, жалуется на частые головные боли, подчеркнула эксперт. […] Например, поработать на них 20-30 минут, а затем сделать обязательный перерыв, посмотреть вдаль, на окна соседнего дома, деревья или самолеты и т.д. […]",REJECT,,RQ-6e98dcbd83b1,SILVER,,,2026-08-20T15:48:28+00:00,,,REVIEWED,NewGrodno,"Врач-офтальмолог рассказала, как распознать болезни глаз у ребенка",https://newgrodno.by/society/vrach-oftalmolog-rasskazala-kak-raspoznat-bolezni-glaz-u-rebenka,EVT-e44d3cf13fe6,1,1,NO,YES,train
