region,locality,source,source_type,priority,source_language,published_at,category,subcategory,signal_type,official_response,score,title,title_generated,exact_excerpt,url,matched_terms,discovered_via,text_length,event_region,event_locality,event_object,event_problem,event_signature,event_echo,event_echo_anchor,event_echo_sources,also_covered_by,also_covered_urls,category_bonus_only
Беларусь,Беларусь,Хартия-97,website,A,ru,2026-09-04T07:53:20+00:00,"Законы, права и общественное регулирование",,общественная реакция на закон или проект правил,False,9,Лявон Вольский: Белорусская школа все больше превращается в армию,False,"Музыкант объяснил, как детей приучают к казарменным порядкам. Белорусские школы все больше превращаются в учреждения с жесткой дисциплиной, едиными требованиями к внешнему виду и элементами армейского порядка. Музыкант Лявон Вольский в колонке для Budzma.org объясняет, как система образования постепенно пришла к такой модели. […] В итоге обещания не сбылись, а членство свелось к ежемесячным поборам и возможности карьерного роста для особо активных членов организации. Школьная форма и распределение Появились школьная форма и требования к внешнему виду в колледжах и лицеях. Сначала наиболее демократически настроенные родители были против, но со временем смирились: «Мы же носили форму, и ничего страшного с нами не произошло». Потом незаметно подкралось распределение. […]",https://charter97.org/ru/news/2026/9/4/697236,"требования, возмущ",feed:https://charter97.org/ru/rss/society/,4429,,,школа/детский сад,,,False,,,,,True
Беларусь,Беларусь,Наша Ніва,website,A,be,2026-09-04T08:13:41+00:00,Здравоохранение,бальні,жалоба жителей или пользователей,False,12,Маці паскардзілася на траўмы 5‑гадовага сына ў псіхіятрычнай бальніцы Гомеля,True,Маці паскардзілася на траўмы 5‑гадовага сына ў псіхіятрычнай бальніцы Гомеля Што адказалі дактары? https://nashaniva.com/403853 Без VPN — https://storage.googleapis.com/nashaniva-by/read.html?page=/403853,https://t.me/nashaniva/121131,"бальні, паскардз",telegram:https://t.me/s/nashaniva,204,Гомельская область,Гомель,медицина,опасность/безопасность,гомель|healthcare|safety,True,current,БрестСИТИ,,,False
Брестская область,Брест,BGmedia,website,A,ru,2026-09-04T08:37:20+00:00,Здравоохранение,"врач, поликлиник",жалоба жителей или пользователей,False,15,"На бумаге все работает, а люди стоят часами: очередное медицинское хамство в регионах спровоцировало скандал — BGmedia",False,"Жительница Смолевичей пожаловалась на работу женской консультации Смолевичской ЦРБ. По словам женщины, она пришла на прием к своему врачу в назначенное время, но узнала, что специалист ушел в отпуск. Пациентку направили в другой кабинет, однако попасть на прием и там не получилось. Своим возмущением женщина поделилась в Instagram. Заведующая женской консультацией Смолевичской ЦРБ, врач акушер-гинеколог Валентина Дорошевич объяснила , как организовано замещение специалистов. Сейчас в консультации принимают четыре врача. […] Свою историю она рассказала в Threads. […]",https://bgmedia.site/society/chto-proishodit-v-zhenskih-konsultacziyah-smolevichej-i-molodechno,"поликлиник, очередь, врач, расписан, подтверждённая жалоба на доступ к амбулаторной помощи",feed:https://bgmedia.site/feed/ | homepage,3575,Минская область,Молодечно,медицина,общественный резонанс,,False,,,,,False
Брестская область,Брест,БрестСИТИ,website,A,ru,2026-09-04T09:25:14+00:00,Здравоохранение,"больниц, врач, обследован",описание конкретной социально-экономической проблемы,True,7,Откуда у ребенка травмы? Конфликт мамы и Гомельской областной психиатрической больницы,False,"Мать пятилетнего мальчика с инвалидностью заявила в Threads, что ее сын получил травмы во время лечения в детском психиатрическом отделении №7 Гомельской областной клинической психиатрической больницы. Женщина утверждает, что после выписки заметила у ребенка гематомы на лице и за ухом. В больнице прокомментировали инцидент, подтвердив, что мальчик получил легкую травму в результате стычки с другим пациентом. Ребенок находился в отделении с 10 по 25 августа — там ему подтверждали диагноз и подбирали лечение. […] В больнице сообщили, что по обращению матери начата внутренняя проверка. […] В больнице также пояснили, что видеонаблюдение в отделении не ведется, при этом пациенты круглосуточно находятся под наблюдением медперсонала. Что касается совместного пребывания детей с родителями, главный врач сослался на законодательство. […]",https://brestcity.com/blog/konflikt-mamy-rebenka-invalida,жалоба на безопасность пациента в медучреждении,homepage,3273,Гомельская область,Гомель,медицина,опасность/безопасность,гомель|healthcare|safety,True,current,Наша Ніва,,,False
Гомельская область,Гомель,Gomel Today,telegram,A,ru,2026-09-04T08:02:31+00:00,Здравоохранение,"больниц, врач",жалоба жителей или пользователей,False,13,Жлобинчанка увидела на теле сына гематомы после выписки из гомельской психбольницы – что говорят в медучреждении?,True,"Жлобинчанка увидела на теле сына гематомы после выписки из гомельской психбольницы – что говорят в медучреждении? В социальных сетях жительница Жлобина пожаловалась на работу Гомельской областной психиатрической больницы. По словам женщины, с 10 по 25 августа ее ребенок лежал в учреждении здравоохранения, а после выписки мама увидела у сына гематомы возле уха, на щеке и под глазом. […] Пройти стационарное лечение предложили после очередного приема у врача. […] Еще одна из претензий мамы и комментаторов под ее постом, что родителей детей со специфическим диагнозом не пускают в отделение и не позволяют сопровождать на лечении. […] Женщина оставила запись в книге замечаний и предложений больницы, написала обращение на горячую линию Минздрава, сняла побои и подала заявление в милицию. […] 📍 Что говорят в больнице? […]",https://t.me/gomeltoday/162662,"больниц, пожаловал, жалоба на безопасность пациента в медучреждении, подтверждённая жалоба на доступ к амбулаторной помощи",telegram:https://t.me/s/gomeltoday,2107,Гомельская область,,медицина,ограничение доступа,region:гомельская область|healthcare|access_restriction,False,,,,,False
Брестская область,Брест,Брест Live,telegram,A,ru,2026-09-04T08:13:06+00:00,Качество товаров и услуг,качеств,жалоба жителей или пользователей,False,7,Что происходит с картошкой фри в,True,"😖 Что происходит с картошкой фри в Mak.by ? Посетители регулярно жалуются на её качество К нам обратился подписчик с жалобой на картошку фри в Mak.bу. Мы решили проверить, единичная ли это история, и посмотрели отзывы о разных точках сети. Оказалось, похожих претензий хватает: кому-то попадается сухая и пережаренная картошка, кому-то — холодная, размокшая или, наоборот, недожаренная. […] Но сама история с картошкой тянется уже не первый месяц — похожие претензии продолжают появляться снова и снова. […]",https://t.me/binklbinkl/29212,"качеств, жалу",telegram:https://t.me/s/binklbinkl,1181,,,,качество услуги,,False,,,,,False
Витебская область,Полоцк;Полоцкий район,Полацкі веснік,website,B,ru,2026-09-04T08:58:37+00:00,ЖКХ и состояние жилья,жкх,описание конкретной социально-экономической проблемы,False,7,"А вы помните, как появилась детская площадка в парке у Кургана Бессмертия в Полоцке?",False,"День народного единства в 2021 году запомнился жителям Полоцка не только торжественными мероприятиями, но и по-настоящему добрым делом. В парке у Кургана Бессмертия открылась детская площадка, история создания которой заслуживает особого внимания. Всё началось с весенней санитарной вырубки: тогда из парка пришлось убрать несколько десятков аварийных тополей. Однако городские власти решили не превращать древесину в обычные дрова, а подарить ей вторую жизнь. […] Основная работа легла на плечи мастера Константина Пахомовича, который трудился на базе учебно-опытного лесхоза Полоцкого лесного колледжа при активной поддержке местного ЖКХ. […]",https://www.pvestnik.by/a-vy-pomnite-kak-poyavilas-detskaya-ploshhadka-v-parke-u-kurgana-bessmertiya-v-polocke,"парк, санитарн, аварийн",feed:https://www.pvestnik.by/feed/ | homepage | sitemap:https://www.pvestnik.by/sitemap-pt-post-2026-09.xml,1232,Витебская область,Полоцк,озеленение/покос,,,False,,,,,False
Гомельская область,Хойники;Хойникский район,Хойніцкія навіны,website,B,ru,2026-09-04T07:20:40+00:00,"Законы, права и общественное регулирование",,общественная реакция на закон или проект правил,False,7,Требования к сбросу дождевых и талых вод от усадебной (жилой) застройки,False,"Официальное толкование новой редакцией Водного кодекса Республики Беларусь (в редакции Закона Республики Беларусь от 1 июня 2026 г. № 148-З) Министерства природных ресурсов и охраны окружающей среды Республики Беларусь в части сброса дождевых и талых вод от усадебной (жилой) застройки. В связи с широким обсуждением в социальных сетях вопросов, связанных со сбросом дождевых и талых вод от усадебной (жилой) застройки, Министерство природных ресурсов и охраны окружающей среды Республики Беларусь сообщает следующее. Новой редакцией Водного кодекса Республики Беларусь (в редакции Закона Республики Беларусь от 1 июня 2026 г. № 148-З) не меняются действующие подходы к сбросу дождевых или талых вод гражданами. Как в новой, так и в действующей редакции Водного кодекса определено, что воды, образующиеся при выпадении жидких атмосферных осадков, таянии снега, которые поступают в водосточные желоба, трубы, кровельные сливы и другие подобные конструкции, установленные на зданиях, и которые далее отводятся с территории частного домовладения на рельеф местности, не являются сточными водами. Сброс таких вод на рельеф местности не является нарушением требований законодательства в области охраны и использования вод и основанием для применения мер административной ответственности к физическим лицам. […]",https://www.hoiniki.by/?p=256896,"закон, кодекс, требования, обсуждение",feed:https://www.hoiniki.by/?feed=rss2 | homepage,1454,,,,общественный резонанс,,False,,,,,True
Беларусь,Беларусь,Sputnik Беларусь,website,B,ru,2026-09-04T09:26:00+00:00,"Земля, водоёмы и доступ к природе",берег,описание конкретной социально-экономической проблемы,False,7,Тотальный блэкаут: на ЗАЭС нет внешнего электроснабжения более двух недель,False,"[…] Яшина подчеркнула, что персонал держит ситуацию под полным контролем, безопасная эксплуатация обеспечена.""Ситуация с энергоснабжение не изменилась. Запорожская АЭС 16-е сутки функционирует в условиях отсутствия внешнего электроснабжения"", – приводит слова директора по коммуникациям АЭС агентство РИА Новости.По ее словам, по продолжительности это уже второй подобный период: ранее осенью 2025 года станция находилась без внешнего энергоснабжения в течение месяца.Лихачев: Украина намеренно саботирует ядерную безопасность ЗАЭС&gt;&gt;&gt;Яшина обратила внимание, что на АЭС имеется достаточное количество дизельного топлива. Однако из-за обстрелов украинских военных доставить топливо и пополнить его запасы, необходимые для работы резервных генераторов, сейчас невозможно.Также директор по коммуникациям сообщила, что продолжается согласование режима тишины для ремонта линии ""Ферросплавная-1"".Основная линия ""Днепровская"" мощностью 750 киловольт была отключена из-за повреждения еще с 24 марта.ЗАЭС находится на левом берегу Днепра рядом с городом Энергодар. Это крупнейшая по числу блоков и установленной мощности АЭС в Европе. […]",https://sputnik.by/20260904/totalnyy-blekaut-na-zaes-net-vneshnego-elektrosnabzheniya-bolee-dvukh-nedel-1110481613.html,"электроснабж, топлив, отсутств, берег",feed:https://sputnik.by/export/rss2/archive/index.xml | homepage | sitemap:https://sputnik.by/sitemap.xml | sitemap:https://sputnik.by/sitemap_article.xml?date_start=20260901&date_end=20260930,1738,,,река/озеро/берег,,,False,,,,,False
Беларусь,Беларусь,Sputnik Беларусь,website,B,ru,2026-09-04T08:38:00+00:00,Образование и дети,груп,жалоба жителей или пользователей,False,5,Молодость ничего не гарантирует: почему инсульты бывают даже у детей,False,"[…] К таким, например, относятся болезни сердечно-сосудистой системы, гематологические болезни.Эти заболевания, как правило, передаются по наследству и могут привести к инсультам даже в детстве, подчеркнула невролог.&gt;&gt;&gt; Ночь темнее перед рассветом: невролог о том, когда случается инсультЧто касается юности и молодого возраста, здесь риски возрастают из-за появления дополнительных, внешних факторов. Среди них Малюкова особо выделила употребление энергетических напитков и курение вейпов.В возрастной группе от 15 до 45 лет именно употребление энергетиков и курение вейпов увеличивает вероятность ранних инсультов. Если же при этом есть проблемы со стороны сердца или сосудов, риски возрастают многократно, заключила Малюкова.Самые интересные и важные новости ищите в нашем Telegram-канале, МАКС и Viber. Также следите за нами в Дзен!",https://sputnik.by/20260904/molodost-nichego-ne-garantiruet-pochemu-insulty-byvayut-dazhe-u-detey-1110478612.html,груп,feed:https://sputnik.by/export/rss2/archive/index.xml | homepage | sitemap:https://sputnik.by/sitemap.xml | sitemap:https://sputnik.by/sitemap_article.xml?date_start=20260901&date_end=20260930,1453,,,,,,False,,,,,False
