source_id,name,scope,domain,start_url,listing_url,language_hint,locality_hint,test_priority,technical_note
nash_kraj,Наш край,Барановичи и Барановичский район,nashkraj.by,https://nashkraj.by/news/,https://nashkraj.by/news/,"ru,be","Барановичи;Барановичский район",high,"Высокий поток и заметная нерелевантная примесь: гороскопы, частные объявления и общереспубликанские перепечатки"
luninets_news,Лунинецкие новости,Лунинецкий район и Микашевичи,lnc.by,https://lnc.by/news/,https://lnc.by/news/,"ru,be","Лунинец;Микашевичи;Лунинецкий район",high,"Структурированная лента; есть рубрики общества и экономики"
orshanka,Аршанская газета,Орша и Оршанский район,orshanka.by,https://www.orshanka.by/,https://www.orshanka.by/,"ru,be","Орша;Оршанский район",high,"Перспективны тематические рубрики: городская среда, коммунальное хозяйство, экология, здравоохранение"
polotsk_vestnik,Полацкі веснік,Полоцк и Полоцкий район,pvestnik.by,https://www.pvestnik.by/,https://www.pvestnik.by/,"ru,be","Полоцк;Полоцкий район",high,"Проверить дату, пагинацию и полнотекстовую страницу"
hoiniki_news,Хойніцкія навіны,Хойникский район,hoiniki.by,https://www.hoiniki.by/,https://www.hoiniki.by/,"ru,be","Хойники;Хойникский район",high,"Проверить долю районных и республиканских перепечаток"
lida_news,Лідская газета,Лида и Лидский район,lidanews.by,https://lidanews.by/news/,https://lidanews.by/news/,"ru,be","Лида;Лидский район",high,"Крупный районный источник с отдельной лентой новостей"
pukhovichi_news,Пухавіцкія навіны,Пуховичский район,gorka.by,https://gorka.by/,https://gorka.by/,"ru,be","Марьина Горка;Пуховичи;Пуховичский район",high,"Нужна проверка HTTP-доступа и извлечения в среде GitHub Actions"
chyrvonaya_zorka,Чырвоная зорка,Узденский район,zorkanews.by,https://zorkanews.by/,https://zorkanews.by/,"ru,be","Узда;Узденский район",high,"Высокий поток местных новостей; ожидаются рецепты и советы, которые должны отсеиваться тематическим фильтром"
golos_kostyukovshchiny,Голас Касцюкоўшчыны,Костюковичский район,golk.by,https://golk.by/,https://golk.by/,"ru,be","Костюковичи;Костюковичский район",high,"Обычная новостная лента районного ресурса"
klich_radzimy,Кліч Радзімы,Шарковщинский район,klich.by,https://www.klich.by/,https://www.klich.by/,"ru,be","Шарковщина;Шарковщинский район",high,"Районная газета Шарковщины; основной сайт подтвержден"
news_by,News.by,Беларусь,news.by,https://news.by/news,https://news.by/news,ru,Беларусь,medium,"Национальный источник: высокий объем и риск дублей региональных сообщений"
grodno_plus,Гродно+,Гродно и Гродненская область,grodnoplustv.by,https://grodnoplustv.by/index.php/novosti,https://grodnoplustv.by/index.php/novosti,ru,"Гродно;Гродненская область",medium,"Joomla-лента; проверить пагинацию start= и извлечение со страниц item/"
ctv,СТВ,Беларусь,ctv.by,https://ctv.by/news,https://ctv.by/news,ru,Беларусь,medium,"Национальный телеканал: нужен строгий тематический фильтр"
sputnik_belarus,Sputnik Беларусь,Беларусь,sputnik.by,https://sputnik.by/news/,https://sputnik.by/news/,ru,Беларусь,medium,"Национальное агентство: проверить дедупликацию и полноту статьи"
